ID,gender,name
8189721,male,Lynceus (one of Actaion's dogs)
8189726,female,Lysidice (daughter of Pelops)
8189727,female,Lysidice (daughter of Thespios)
8189724,female,Lysianassa (Nereid)
8189725,female,Lysianassa (daughter of Epaphos)
8189728,female,Lysimache (daughter of Abas)
8189729,female,Lysimache (daughter of Priam)
8254023,undefined,Phlegra Phlegrai() 491682
9356906,undefined,the Hunters of the Calydonian Boar()
8190153,male,Triops (son of Poseidon)
8190152,male,Trienos (father of Scylla)
8190151,male,Tragasos (father of Philonome)
8190150,female,Toxicrate (daughter of Thespios)
8190157,male,Troilos (son of Apollo or Priam)
8190156,male,"Triton (raises Athena, father of Pallas)"
8190155,male,Triton (minor sea god)
8190154,male,Triptolemos Triptolemus (son of Celeos and Metaneira)
8190159,undefined,the Trojan Horse()
8190158,male,Troizenos (father of Euphemos)
8190243,undefined,the Euboean contingent at Troy()
8254021,undefined,Doliche (Alternate name for Icaros/Icaria) 599667
8190242,undefined,the Phocian contingent at Troy()
8190241,undefined,the Orchomenus contingent at Troy()
8188008,male,Chromios (son of Priam)
8188009,male,Chromios (son of Pterelaos)
8188004,male,Chersidamas (son of Pterelaos)
8188005,female,the Chimaira Chimaera (fire-breathing monster)
8188006,female,Chione (daughter of Boreas)
8188007,female,Chloris (daughter of Amphion and Niobe)
8188000,female,Charybdis (sea monster/whirlpool)
8188001,male,Cheirimachos (son of Electryon)
8188002,male,Cheiron Chiron (centaur)
8188003,male,Chersidamas (son of Priam)
8187889,male,Axios (river god)
8187888,female,Autonoe (Danaid)
8187885,female,Autonoe (daughter of Cadmos)
8187884,female,Automedousa (daughter of Alcathous)
8187887,female,Autonoe (Nereid)
8187886,female,Autonoe (daughter of Peireus)
8187881,male,Autolycos (Argonaut)
8187880,male,Autesion (father of Argeia)
8187883,female,Automate (Danaid)
8187882,male,Autolycos (father of Polymede)
8240687,undefined,the Krosos of the Telchines (dedicated at Lindos)
8240686,undefined,the Telchines()
8240685,undefined,the Phiale of Lindos (dedicated at Lindos)
8240684,male,Lindos (eponym of Lindos on Rhodes)
8240689,undefined,the Silver Cup of Minos (dedicated at Lindos)
8240688,undefined,the Lebes of Cadmos (dedicated at Lindos)
8187867,male,Atas (son of Priam)
8187866,female,Atalanteia (mother of some Danaids)
8187865,female,"Atalante (Calydonian boar hunter, Argonaut)"
8187864,female,Astypalaia (mother of Eurypylos)
8189289,male,Plexippos (son of Thestios)
8189288,female,Plexaura (Nereid)
8187861,female,Astyoche (daughter of Niobe)
